"Año","Actividad","Sector","Tipo de precios","Código Departamento (DIVIPOLA)","Departamento","Valor (miles de millones de pesos)"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","68","Santander","8,112.34"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","70","Sucre","475.13"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","73","Tolima","1,413.42"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","76","Valle del Cauca","9,262.77"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","97","Vaupés","0.38"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","99","Vichada","18.18"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","91","Amazonas","17.59"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","5","Antioquia","4,025.22"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","81","Arauca","24.83"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","8","Atlántico","1,715.16"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","11","Bogotá D.C.","3,233.94"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","13","Bolívar","626.2"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","15","Boyacá","1,025.31"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","17","Caldas","566.97"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","18","Caquetá","14.78"
"2,005","Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental","Terciario","PIB a precios constantes de 2015","85","Casanare","90.37"
