Año,Actividad,Sector,Tipo de precios,Código Departamento (DIVIPOLA),Departamento,Valor (miles de millones de pesos),Valor_winsorizado,Actividad_abreviada
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,44,La Guajira,2912.68,2912.68,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,47,Magdalena,14.51,14.51,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,50,Meta,2494.11,2494.11,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,52,Nariño,68.39,68.39,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,54,Norte de Santander,259.88,259.88,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,86,Putumayo,331.07,331.07,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,63,Quindío,11.31,11.31,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,66,Risaralda,47.47,47.47,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",0.98,0.98,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,68,Santander,681.85,681.85,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,70,Sucre,10.61,10.61,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,73,Tolima,1193.39,1193.39,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,76,Valle del Cauca,137.48,137.48,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,97,Vaupés,0.94,0.94,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,99,Vichada,1.0,1.0,Minería
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,91,Amazonas,8.82,8.82,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,5,Antioquia,15897.91,15897.91,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,81,Arauca,117.48,117.48,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,8,Atlántico,4588.05,4588.05,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,11,Bogotá D.C.,18034.87,18034.87,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,13,Bolívar,4141.56,4141.56,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,15,Boyacá,2045.73,2045.73,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,17,Caldas,1599.57,1599.57,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,18,Caquetá,89.31,89.31,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,85,Casanare,247.2,247.2,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,19,Cauca,1593.18,1593.18,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,20,Cesar,396.21,396.21,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,27,Chocó,22.84,22.84,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,23,Córdoba,1356.76,1356.76,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,25,Cundinamarca,6868.09,6868.09,Manufactura
2005,Industrias manufactureras,Secundario,PIB a precios constantes de 2015,94,Guainía,7.24,7.24,Manufactura
